Player,Team,Service,Season,Extension,Non-Tendered,Outrighted,Next Year Salary,first_name,last_name,Source
Ryan Theriot,Cardinals,4.118,2010,False,False,False,3300000.0,Ryan,Theriot,MLBTR
Ryan Ludwick,Padres,5.109,2010,False,False,False,6775000.0,Ryan,Ludwick,MLBTR
Ryan Raburn,Tigers,3.109,2010,True,False,False,,Ryan,Raburn,MLBTR
Santiago Casilla,Giants,3.148,2010,False,False,False,1300000.0,Santiago,Casilla,MLBTR
Scott Proctor,Braves,5.043,2010,False,False,False,750000.0,Scott,Proctor,MLBTR
Sean Marshall,Cubs,4.088,2010,True,False,False,,Sean,Marshall,MLBTR
Sean Burnett,Nationals,4.085,2010,True,False,False,,Sean,Burnett,MLBTR
Sergio Mitre,Yankees,5.132,2010,False,False,False,900000.0,Sergio,Mitre,MLBTR
Shaun Marcum,Brewers,4.128,2010,False,False,False,3950000.0,Shaun,Marcum,MLBTR
Shawn Camp,Blue Jays,5.17,2010,False,False,False,2250000.0,Shawn,Camp,MLBTR
Shin-Soo Choo,Indians,3.119,2010,False,False,False,3975000.0,Shin-Soo,Choo,MLBTR
Stephen Drew,Diamondbacks,4.079,2010,True,False,False,,Stephen,Drew,MLBTR
Tim Stauffer,Padres,3.007,2010,False,False,False,1075000.0,Tim,Stauffer,MLBTR
Tom Gorzelanny,Nationals,3.16,2010,False,False,False,2100000.0,Tom,Gorzelanny,MLBTR
Tony Pena,White Sox,4.076,2010,False,False,False,1600000.0,Tony,Pena,MLBTR
Wandy Rodriguez,Astros,5.105,2010,True,False,False,,Wandy,Rodriguez,MLBTR
Wil Ledezma,Pirates,4.145,2010,False,False,False,700000.0,Wil,Ledezma,MLBTR
Wilson Betemit,Royals,5.107,2010,False,False,False,1000000.0,Wilson,Betemit,MLBTR
Yunel Escobar,Blue Jays,3.121,2010,False,False,False,2900000.0,Yunel,Escobar,MLBTR
Zach Duke,Diamondbacks,5.094,2010,False,False,False,3500000.0,Zach,Duke,MLBTR
Adam Rosales,Athletics,2.171,2011,False,False,False,600000.0,Adam,Rosales,MLBTR
Adam Jones,Orioles,4.139,2011,False,False,False,6150000.0,Adam,Jones,MLBTR
Alberto Callaspo,Angels,4.135,2011,False,False,False,3150000.0,Alberto,Callaspo,MLBTR
Alex Gordon,Royals,4.092,2011,False,False,False,4775000.0,Alex,Gordon,MLBTR
Alexi Casilla,Twins,4.038,2011,False,False,False,1383000.0,Alexi,Casilla,MLBTR
Alfredo Aceves,Red Sox,3.001,2011,False,False,False,1200000.0,Alfredo,Aceves,MLBTR
