Player,Season,MLS,Year Salary,Next Year Salary,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,wRC+,playerid,first_name,last_name,Position
"Shaw, Travis",2019,3.088,567400.0,4675000.0,,,,,,,,,,,,,,,,,,,,,,,Travis,Shaw,3b
"Gregorius, Didi",2019,5.159,8250000.0,11750000.0,,,,,,,,,,,,,,,,,,,,,,,Didi,Gregorius,ss
"Gennett, Scooter",2019,5.071,5700000.0,9775000.0,,,,,,,,,,,,,,,,,,,,,,,Scooter,Gennett,2b
"Taylor, Chris",2019,3.037,575000.0,3500000.0,,,,,,,,,,,,,,,,,,,,,,,Chris,Taylor,cf
"Rosario, Eddie",2019,3.12,602500.0,4190000.0,,,,,,,,,,,,,,,,,,,,,,,Eddie,Rosario,lf
"Hernandez, Cesar",2019,4.154,5100000.0,7750000.0,,,,,,,,,,,,,,,,,,,,,,,Cesar,Hernandez,2b
"Pham, Tommy",2019,3.107,570100.0,4100000.0,,,,,,,,,,,,,,,,,,,,,,,Tommy,Pham,cf
"Ahmed, Nick",2019,4.054,1275000.0,3662500.0,,,,,,,,,,,,,,,,,,,,,,,Nick,Ahmed,ss
"Bryant, Kris",2019,3.171,10850000.0,12900000.0,,,,,,,,,,,,,,,,,,,,,,,Kris,Bryant,3b
"Davis, Khris",2019,5.104,10500000.0,16500000.0,,,,,,,,,,,,,,,,,,,,,,,Khris,Davis,lf
"Conforto, Michael",2019,3.043,605094.0,4025000.0,,,,,,,,,,,,,,,,,,,,,,,Michael,Conforto,lf-rf
"Martin, Leonys",2019,5.161,1750000.0,3000000.0,,,,,,,,,,,,,,,,,,,,,,,Leonys,Martin,cf
"Peralta, David",2019,4.12,3300000.0,7000000.0,,,,,,,,,,,,,,,,,,,,,,,David,Peralta,rf
"Ozuna, Marcell",2019,5.124,9000000.0,12250000.0,,,,,,,,,,,,,,,,,,,,,,,Marcell,Ozuna,lf
"Peraza, Jose",2019,2.141,570000.0,2775000.0,,,,,,,,,,,,,,,,,,,,,,,Jose,Peraza,2b
"Correa, Carlos",2019,3.119,1000000.0,5000000.0,,,,,,,,,,,,,,,,,,,,,,,Carlos,Correa,ss
"Hicks, Aaron",2019,5.041,2825000.0,6000000.0,,,,,,,,,,,,,,,,,,,,,,,Aaron,Hicks,of
"Dickerson, Corey",2019,5.101,5950000.0,8500000.0,,,,,,,,,,,,,,,,,,,,,,,Corey,Dickerson,lf
"Duffy, Matt",2019,4.059,930000.0,2675000.0,,,,,,,,,,,,,,,,,,,,,,,Matt,Duffy,ss
"Schwarber, Kyle",2019,3.086,604500.0,3390000.0,,,,,,,,,,,,,,,,,,,,,,,Kyle,Schwarber,lf-c
"Kepler, Max",2019,2.152,587500.0,3125000.0,,,,,,,,,,,,,,,,,,,,,,,Max,Kepler,rf
"Pillar, Kevin",2019,4.113,3250000.0,5800000.0,,,,,,,,,,,,,,,,,,,,,,,Kevin,Pillar,cf
