Player,Team,Service,Extension,Year,Non-Tendered,Outrighted,Next Year Salary,first_name,last_name,Source
Dexter Fowler,Rockies,2.168,False,2012,False,False,2350000.0,Dexter,Fowler,MLBTR
Don Kelly,Tigers,2.149,False,2012,False,False,900000.0,Don,Kelly,MLBTR
Donnie Murphy,Marlins,3.075,False,2012,False,False,560000.0,Donnie,Murphy,MLBTR
Dustin McGowan,Blue Jays,5.113,False,2012,False,False,600000.0,Dustin,McGowan,MLBTR
Dustin Moseley,Padres,4.03,False,2012,False,False,2013000.0,Dustin,Moseley,MLBTR
Edinson Volquez,Padres,4.059,False,2012,False,False,2237000.0,Edinson,Volquez,MLBTR
Edward Mujica,Marlins,4.115,False,2012,False,False,1625000.0,Edward,Mujica,MLBTR
Elvis Andrus,Rangers,3.0,True,2012,False,False,,Elvis,Andrus,MLBTR
Emilio Bonifacio ,Marlins,3.066,False,2012,False,False,2200000.0,Emilio,Bonifacio ,MLBTR
Emmanuel Burriss,Giants,2.152,False,2012,False,False,625000.0,Emmanuel,Burriss,MLBTR
Eric O'Flaherty,Braves,4.062,False,2012,False,False,2490000.0,Eric,O'Flaherty,MLBTR
Erick Aybar,Angels,5.086,False,2012,False,False,5075000.0,Erick,Aybar,MLBTR
Evan Meek,Pirates,3.037,False,2012,False,False,875000.0,Evan,Meek,MLBTR
Felipe Paulino,Royals,3.163,False,2012,False,False,1900000.0,Felipe,Paulino,MLBTR
Francisco Liriano,Twins,5.104,False,2012,False,False,5500000.0,Francisco,Liriano,MLBTR
Francisco Rodriguez,Brewers,8.15,False,2012,False,False,8000000.0,Francisco,Rodriguez,MLBTR
Franklin Morales,Red Sox,3.007,False,2012,False,False,850000.0,Franklin,Morales,MLBTR
Garrett Jones ,Pirates,2.158,False,2012,False,False,2250000.0,Garrett,Jones ,MLBTR
George Kottaras,Brewers,2.149,False,2012,False,False,700000.0,George,Kottaras,MLBTR
Geovany Soto,Cubs,4.096,False,2012,False,False,4300000.0,Geovany,Soto,MLBTR
Gio Gonzalez,Nationals,2.162,True,2012,False,False,,Gio,Gonzalez,MLBTR
Glen Perkins,Twins,4.01,False,2012,False,False,1550000.0,Glen,Perkins,MLBTR
Homer Bailey,Reds,3.017,False,2012,False,False,2425000.0,Homer,Bailey,MLBTR
Howie Kendrick,Angels,5.091,True,2012,False,False,,Howie,Kendrick,MLBTR
Humberto Quintero,Astros,5.141,False,2012,False,False,1000000.0,Humberto,Quintero,MLBTR
Hunter Pence,Phillies,4.156,False,2012,False,False,10400000.0,Hunter,Pence,MLBTR
Ian Stewart,Cubs,3.05,False,2012,False,False,2237000.0,Ian,Stewart,MLBTR
J.A. Happ,Astros,3.047,False,2012,False,False,2350000.0,J.A.,Happ,MLBTR
J.P. Howell,Rays,5.007,False,2012,False,False,1350000.0,J.P.,Howell,MLBTR
Jack Hannahan,Indians,3.065,False,2012,False,False,1135000.0,Jack,Hannahan,MLBTR
Jacoby Ellsbury,Red Sox,4.037,False,2012,False,False,8050000.000000001,Jacoby,Ellsbury,MLBTR
Jair Jurrjens,Braves,4.047,False,2012,False,False,5500000.0,Jair,Jurrjens,MLBTR
James Loney,Dodgers,5.012,False,2012,False,False,6375000.0,James,Loney,MLBTR
Jarrod Saltalamacchia,Red Sox,4.043,False,2012,False,False,2500000.0,Jarrod,Saltalamacchia,MLBTR
Jason Grilli,Pirates,5.016,False,2012,False,False,1100000.0,Jason,Grilli,MLBTR
Jason Motte,Cardinals,3.027,False,2012,False,False,1950000.0,Jason,Motte,MLBTR
Jason Vargas,Mariners,4.114,False,2012,False,False,4850000.0,Jason,Vargas,MLBTR
Jed Lowrie,Astros,3.111,False,2012,False,False,1150000.0,Jed,Lowrie,MLBTR
Jeff Mathis,Blue Jays,5.012,False,2012,False,False,1500000.0,Jeff,Mathis,MLBTR
