Player,Season,MLS,Year Salary,Next Year Salary,G,R,H,HR,RBI,SB,AVG,OBP,SLG,playerid,Position_1b,Position_2b,Position_3b,Position_c,Position_cf,Position_dh,Position_inf,Position_lf,Position_of,Position_rf,Position_ss
"Miller, Brad",2018,4.094,3575000.0,4500000.0,110.0,43.0,68.0,9.0,40.0,5.0,0.201183431,0.326781326,0.337278106,12775.0,False,True,False,False,False,False,False,False,False,False,False
"Cron, C.J.",2018,3.097,565000.0,2300000.0,100.0,39.0,84.0,16.0,56.0,3.0,0.24778761,0.30458221,0.436578171,12546.0,True,False,False,False,False,False,False,False,False,False,False
"Pederson, Joc",2018,3.023,555000.0,2600000.0,102.0,44.0,58.0,11.0,35.0,4.0,0.212454212,0.331269349,0.406593406,11899.0,False,False,False,False,True,False,False,False,False,False,False
"Ahmed, Nick",2018,3.054,566000.0,1275000.0,53.0,24.0,42.0,6.0,21.0,3.0,0.251497005,0.297752808,0.419161676,12147.0,False,False,False,False,False,False,False,False,False,False,True
"Mercer, Jordy",2018,5.095,4325000.0,6750000.0,145.0,52.0,128.0,14.0,58.0,0.0,0.254980079,0.326164874,0.406374501,6547.0,False,False,False,False,False,False,False,False,False,False,True
"Rupp, Cameron",2018,3.089,565000.0,2050000.0,88.0,35.0,64.0,14.0,34.0,1.0,0.216949152,0.299093655,0.416949152,11146.0,False,False,False,True,False,False,False,False,False,False,False
"Grossman, Robbie",2018,3.06,552500.0,2000000.0,119.0,62.0,94.0,9.0,45.0,3.0,0.246073298,0.36123348,0.379581151,5254.0,False,False,False,False,False,False,False,True,False,False,False
"Leon, Sandy",2018,3.149,1300000.0,1950000.0,85.0,32.0,61.0,7.0,39.0,0.0,0.22509225,0.29,0.354243542,5273.0,False,False,False,True,False,False,False,False,False,False,False
"Pillar, Kevin",2018,3.113,555000.0,3250000.0,154.0,72.0,150.0,16.0,42.0,15.0,0.255536626,0.300476947,0.40374787,12434.0,False,False,False,False,False,False,False,False,True,False,False
"Travis, Devon",2018,3.0,545200.0,1450000.0,50.0,22.0,48.0,5.0,24.0,4.0,0.259459459,0.290816326,0.437837837,13862.0,False,True,False,False,False,False,False,False,False,False,False
"Peterson, Jace",2018,3.003,555000.0,,89.0,15.0,40.0,2.0,17.0,3.0,0.215053763,0.317757009,0.317204301,12325.0,False,True,False,False,False,False,False,False,False,False,False
"Goins, Ryan",2018,3.106,548200.0,,143.0,37.0,99.0,9.0,62.0,3.0,0.236842105,0.286343612,0.35645933,9807.0,False,False,False,False,False,False,False,False,False,False,True
"Iglesias, Jose",2018,5.036,4100000.0,6275000.0,130.0,56.0,118.0,6.0,54.0,7.0,0.254859611,0.288065843,0.369330453,10231.0,False,False,False,False,False,False,False,False,False,False,True
"Santana, Danny",2018,3.111,545000.0,,82.0,19.0,34.0,4.0,23.0,7.0,0.202380952,0.242937853,0.357142857,10322.0,False,False,False,False,False,False,False,False,True,False,False
"Profar, Jurickson",2018,3.165,1005000.0,1050000.0,22.0,8.0,10.0,0.0,5.0,1.0,0.172413793,0.294117647,0.206896551,10815.0,False,False,False,False,False,False,False,True,False,False,False
"Duffy, Matt",2018,3.059,545300.0,930000.0,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,True
"Rua, Ryan",2018,2.129,544740.0,870000.0,63.0,17.0,28.0,3.0,12.0,2.0,0.217054263,0.293706293,0.333333333,12409.0,False,False,False,False,False,False,False,False,True,False,False
"Holt, Brock",2018,4.052,1950000.0,2225000.0,64.0,20.0,28.0,0.0,7.0,2.0,0.2,0.304878048,0.242857142,9345.0,False,False,True,False,False,False,False,False,False,False,False
"Romine, Austin",2018,4.045,805000.0,1100000.0,80.0,19.0,50.0,2.0,21.0,0.0,0.218340611,0.272,0.292576419,5491.0,False,False,False,True,False,False,False,False,False,False,False
"Herrmann, Chris",2018,4.001,937500.0,1300000.0,106.0,35.0,41.0,10.0,27.0,5.0,0.181415929,0.2734375,0.345132743,9284.0,False,False,False,True,False,False,False,False,False,False,False
"Franco, Maikel",2018,2.17,560000.0,2950000.0,154.0,66.0,132.0,24.0,76.0,0.0,0.229565217,0.280898876,0.408695652,12179.0,False,False,True,False,False,False,False,False,False,False,False
"McCann, James",2018,3.028,552100.0,2375000.0,106.0,39.0,89.0,13.0,49.0,1.0,0.252840909,0.317948717,0.414772727,12859.0,False,False,False,True,False,False,False,False,False,False,False
"Betts, Mookie",2019,4.07,10500000.0,20000000.0,136.0,129.0,180.0,32.0,80.0,30.0,0.346153846,0.438110749,0.640384615,13611.0,False,False,False,False,False,False,False,False,False,True,False
"Lindor, Francisco",2019,3.113,623200.0,10550000.0,158.0,129.0,183.0,38.0,92.0,25.0,0.276853252,0.351752021,0.518910741,12916.0,False,False,False,False,False,False,False,False,False,False,True
"Baez, Javier",2019,3.089,657000.0,5200000.0,160.0,101.0,176.0,34.0,111.0,21.0,0.290429042,0.326086956,0.554455445,12979.0,False,True,False,False,False,False,False,False,False,False,False
"Arenado, Nolan",2019,5.155,17750000.0,26000000.0,156.0,104.0,175.0,38.0,110.0,2.0,0.296610169,0.373511904,0.561016949,9777.0,False,False,True,False,False,False,False,False,False,False,False
"Realmuto, J.T.",2019,4.038,2900000.0,5900000.0,125.0,74.0,132.0,21.0,74.0,3.0,0.276729559,0.34026465,0.484276729,11739.0,False,False,False,True,False,False,False,False,False,False,False
"Rendon, Anthony",2019,5.13,12300000.0,18800000.0,136.0,88.0,163.0,24.0,92.0,2.0,0.308128544,0.373534338,0.534971644,12861.0,False,False,True,False,False,False,False,False,False,False,False
"Semien, Marcus",2019,4.118,3125000.0,5900000.0,159.0,89.0,161.0,15.0,70.0,14.0,0.254746835,0.318116975,0.387658227,12533.0,False,False,False,False,False,False,False,False,False,False,True
"Turner, Trea",2019,2.135,577200.0,3725000.0,162.0,103.0,180.0,19.0,73.0,43.0,0.271084337,0.344173441,0.41566265,16252.0,False,False,False,False,False,False,False,False,False,False,True
"Bogaerts, Xander",2019,5.042,7050000.0,12000000.0,136.0,72.0,148.0,23.0,103.0,8.0,0.288499025,0.360344827,0.522417153,12161.0,False,False,False,False,False,False,False,False,False,False,True
"Story, Trevor",2019,3.0,555000.0,5000000.0,157.0,88.0,174.0,37.0,108.0,27.0,0.290969899,0.347560975,0.566889632,12564.0,False,False,False,False,False,False,False,False,False,False,True
"Castellanos, Nick",2019,5.029,6050000.0,9950000.0,157.0,88.0,185.0,23.0,89.0,2.0,0.298387096,0.3539823,0.5,11737.0,False,False,True,False,False,False,False,False,False,False,False
"Shaw, Travis",2019,3.088,567400.0,4675000.0,152.0,73.0,120.0,32.0,86.0,5.0,0.240963855,0.344709897,0.479919678,11982.0,False,False,True,False,False,False,False,False,False,False,False
"Gregorius, Didi",2019,5.159,8250000.0,11750000.0,134.0,89.0,135.0,27.0,86.0,10.0,0.267857142,0.334507042,0.494047619,6012.0,False,False,False,False,False,False,False,False,False,False,True
"Gennett, Scooter",2019,5.071,5700000.0,9775000.0,154.0,86.0,181.0,23.0,92.0,4.0,0.309931506,0.357480314,0.489726027,10339.0,False,True,False,False,False,False,False,False,False,False,False
"Taylor, Chris",2019,3.037,575000.0,3500000.0,155.0,85.0,136.0,17.0,63.0,9.0,0.253731343,0.331125827,0.44402985,13757.0,False,False,False,False,True,False,False,False,False,False,False
"Rosario, Eddie",2019,3.12,602500.0,4190000.0,138.0,87.0,161.0,24.0,77.0,8.0,0.288014311,0.323181049,0.479427549,12155.0,False,False,False,False,False,False,False,True,False,False,False
"Hernandez, Cesar",2019,4.154,5100000.0,7750000.0,161.0,91.0,153.0,15.0,60.0,19.0,0.252892561,0.356435643,0.361983471,10556.0,False,True,False,False,False,False,False,False,False,False,False
"Pham, Tommy",2019,3.107,570100.0,4100000.0,137.0,102.0,136.0,21.0,63.0,15.0,0.275303643,0.366666666,0.463562753,2967.0,False,False,False,False,True,False,False,False,False,False,False
"Ahmed, Nick",2019,4.054,1275000.0,3662500.0,153.0,61.0,121.0,16.0,70.0,5.0,0.234496124,0.289520426,0.410852713,12147.0,False,False,False,False,False,False,False,False,False,False,True
"Bryant, Kris",2019,3.171,10850000.0,12900000.0,102.0,59.0,106.0,13.0,52.0,2.0,0.272493573,0.374179431,0.460154241,15429.0,False,False,True,False,False,False,False,False,False,False,False
"Davis, Khris",2019,5.104,10500000.0,16500000.0,151.0,98.0,142.0,48.0,123.0,0.0,0.246527777,0.325688073,0.548611111,9112.0,False,False,False,False,False,False,False,True,False,False,False
"Conforto, Michael",2019,3.043,605094.0,4025000.0,153.0,78.0,132.0,28.0,82.0,3.0,0.243093922,0.34952978,0.447513812,16376.0,False,False,False,False,False,False,False,True,False,False,False
"Martin, Leonys",2019,5.161,1750000.0,3000000.0,84.0,48.0,81.0,11.0,33.0,7.0,0.254716981,0.322946175,0.424528301,11846.0,False,False,False,False,True,False,False,False,False,False,False
"Peralta, David",2019,4.12,3300000.0,7000000.0,146.0,75.0,164.0,30.0,87.0,4.0,0.292857142,0.35179153,0.516071428,2136.0,False,False,False,False,False,False,False,False,False,True,False
"Ozuna, Marcell",2019,5.124,9000000.0,12250000.0,148.0,69.0,163.0,23.0,88.0,3.0,0.280068728,0.325358851,0.43298969,10324.0,False,False,False,False,False,False,False,True,False,False,False
"Peraza, Jose",2019,2.141,570000.0,2775000.0,157.0,85.0,182.0,14.0,58.0,23.0,0.287974683,0.325925925,0.41613924,13593.0,False,True,False,False,False,False,False,False,False,False,False
"Correa, Carlos",2019,3.119,1000000.0,5000000.0,110.0,60.0,96.0,15.0,65.0,3.0,0.23880597,0.322649572,0.405472636,14162.0,False,False,False,False,False,False,False,False,False,False,True
"Hicks, Aaron",2019,5.041,2825000.0,6000000.0,137.0,90.0,119.0,27.0,79.0,11.0,0.247916666,0.366148531,0.466666666,5297.0,False,False,False,False,False,False,False,False,True,False,False
"Dickerson, Corey",2019,5.101,5950000.0,8500000.0,135.0,65.0,151.0,13.0,55.0,8.0,0.299603174,0.330206378,0.474206349,10762.0,False,False,False,False,False,False,False,True,False,False,False
"Duffy, Matt",2019,4.059,930000.0,2675000.0,132.0,59.0,148.0,4.0,44.0,12.0,0.294234592,0.36135957,0.365805168,13836.0,False,False,False,False,False,False,False,False,False,False,True
"Schwarber, Kyle",2019,3.086,604500.0,3390000.0,137.0,64.0,102.0,26.0,61.0,4.0,0.238317757,0.355599214,0.467289719,16478.0,False,False,False,False,False,False,False,True,False,False,False
"Kepler, Max",2019,2.152,587500.0,3125000.0,156.0,80.0,119.0,20.0,58.0,4.0,0.22368421,0.319148936,0.407894736,12144.0,False,False,False,False,False,False,False,False,False,True,False
"Pillar, Kevin",2019,4.113,3250000.0,5800000.0,142.0,65.0,129.0,15.0,59.0,14.0,0.251953125,0.282287822,0.42578125,12434.0,False,False,False,False,True,False,False,False,False,False,False
"Hernandez, Enrique",2019,4.054,1600000.0,3725000.0,145.0,67.0,103.0,21.0,52.0,3.0,0.256218905,0.336244541,0.470149253,10472.0,False,True,False,False,False,False,False,False,False,False,False
"Pederson, Joc",2019,4.028,2600000.0,5000000.0,148.0,65.0,98.0,25.0,56.0,1.0,0.248101265,0.321266968,0.521518987,11899.0,False,False,False,False,True,False,False,False,False,False,False
"Bradley Jr., Jackie",2019,4.15,6100000.0,8550000.0,144.0,76.0,111.0,13.0,59.0,17.0,0.234177215,0.314018691,0.402953586,12984.0,False,False,False,False,True,False,False,False,False,False,False
"Cron, C.J.",2019,4.097,2300000.0,4800000.0,140.0,68.0,127.0,30.0,74.0,1.0,0.253493013,0.323214285,0.493013972,12546.0,True,False,False,False,False,False,False,False,False,False,False
"Hedges, Austin",2019,2.166,553100.0,2060000.0,91.0,29.0,70.0,14.0,37.0,3.0,0.231023102,0.282208588,0.429042904,12976.0,False,False,False,True,False,False,False,False,False,False,False
"Abreu, Jose",2019,5.0,13000000.0,16000000.0,128.0,68.0,132.0,22.0,78.0,2.0,0.264529058,0.325497287,0.472945891,15676.0,True,False,False,False,False,False,False,False,False,False,False
"Puig, Yasiel",2019,5.102,9214286.0,9700000.0,125.0,60.0,108.0,23.0,63.0,15.0,0.266666666,0.326576576,0.49382716,14225.0,False,False,False,False,False,False,False,False,False,True,False
"Franco, Maikel",2019,3.17,2950000.0,5200000.0,131.0,48.0,117.0,22.0,68.0,1.0,0.270207852,0.313978494,0.466512702,12179.0,False,False,True,False,False,False,False,False,False,False,False
"Grichuk, Randal",2019,4.033,2800000.0,5000000.0,124.0,60.0,104.0,25.0,61.0,3.0,0.245283018,0.3008658,0.50235849,10243.0,False,False,False,False,False,False,False,True,False,False,False
"Pina, Manny",2019,3.046,560100.0,1750000.0,98.0,39.0,77.0,9.0,28.0,2.0,0.251633986,0.306547619,0.395424836,2829.0,False,False,False,True,False,False,False,False,False,False,False
"Profar, Jurickson",2019,4.165,1050000.0,3600000.0,146.0,82.0,133.0,20.0,77.0,10.0,0.253816793,0.335016835,0.458015267,10815.0,False,False,False,False,False,False,False,True,False,False,False
"Culberson, Charlie",2019,3.084,575000.0,1395000.0,113.0,47.0,80.0,12.0,45.0,4.0,0.27027027,0.326086956,0.466216216,3298.0,False,True,False,False,False,False,False,False,False,False,False
"Russell, Addison",2019,3.167,3200000.0,3400000.0,130.0,52.0,105.0,5.0,38.0,4.0,0.25,0.316810344,0.34047619,14106.0,False,False,False,False,False,False,False,False,False,False,True
"Dietrich, Derek",2019,4.151,2900000.0,,149.0,72.0,132.0,16.0,45.0,2.0,0.264529058,0.330308529,0.420841683,10542.0,False,False,False,False,False,False,False,True,False,False,False
"Schoop, Jonathan",2019,5.027,8500000.0,,131.0,61.0,110.0,21.0,61.0,1.0,0.232558139,0.266,0.416490486,11265.0,False,True,False,False,False,False,False,False,False,False,False
