Player,Position,Salary,Year
"Guardado, Eddie",lhp,"$875,000 ",2000.0
"Nevin, Phil",3b,"$875,000 ",2000.0
"Vander Wal, John",of,"$875,000 ",2000.0
"Mercker, Kent",lhp,"$850,000 ",2000.0
"Houston, Tyler",c,"$835,000 ",2000.0
"Boehringer, Brian",rp,"$830,000 ",2000.0
"Isringhausen, Jason",rhp,"$825,000 ",2000.0
"Baker, Dusty",mgr,"$800,000 ",2000.0
"Bere, Jason",sp,"$800,000 ",2000.0
"Burrell, Pat",lf,"$800,000 ",2000.0
"Henry, Doug",rhp,"$800,000 ",2000.0
"Lopez, Albie",rhp,"$800,000 ",2000.0
"Price, Bryan",mgr,"$800,000 ",2000.0
"Lopez, Luis",ss,"$775,000 ",2000.0
"Kim, Byung Hyun",rhp,"$762,500 ",2000.0
"Burkett, John",sp,"$750,000 ",2000.0
"Grieve, Ben",of,"$750,000 ",2000.0
"Grimsley, Jason",rhp,"$750,000 ",2000.0
"Mahomes, Pat",rp,"$750,000 ",2000.0
"Matheny, Mike",mgr,"$750,000 ",2000.0
"Tatis, Fernando",3b-of,"$750,000 ",2000.0
"Carpenter, Chris",rhp-s,"$733,333 ",2000.0
"Worrell, Tim",rhp,"$700,000 ",2000.0
"Hatteberg, Scott",c-1b,"$695,000 ",2000.0
"Wood, Kerry",rhp,"$690,000 ",2000.0
"Stewart, Shannon",of,"$683,333 ",2000.0
"Fordyce, Brook",c,"$675,000 ",2000.0
"Perez, Eddie",c,"$650,000 ",2000.0
"Santiago, Benito",c,"$650,000 ",2000.0
"Weathers, David",rhp,"$650,000 ",2000.0
"White, Gabe",rp,"$630,000 ",2000.0
"Heredia, Felix",rp,"$625,000 ",2000.0
"Lowe, Derek",rhp-s,"$625,000 ",2000.0
"Flores, Randy",lhp,"$620,000 ",2000.0
"Acevedo, Juan",p,"$612,500 ",2000.0
"White, Rick",rp,"$610,000 ",2000.0
"Rodriguez, Rich",p,"$600,000 ",2000.0
"Spiezio, Scott",inf,"$600,000 ",2000.0
"Paquette, Craig",3b,"$595,000 ",2000.0
"DeJean, Mike",p,"$560,000 ",2000.0
"Fetters, Mike",rp,"$550,000 ",2000.0
"Morris, Matt",rhp,"$550,000 ",2000.0
